Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2008","2008","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2008","2008","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2009","2009","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2009","2009","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2010","2010","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2010","2010","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2011","2011","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2011","2011","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2012","2012","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2012","2012","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2013","2013","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2013","2013","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2014","2014","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2014","2014","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2015","2015","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2015","2015","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2016","2016","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2016","2016","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2017","2017","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2017","2017","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2018","2018","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2018","2018","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2019","2019","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2019","2019","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2020","2020","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2020","2020","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2021","2021","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2021","2021","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2022","2022","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2022","2022","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01311","Avocados","2023","2023","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01311","Avocados","2023","2023","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","2005","2005","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","2005","2005","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","2006","2006","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","2006","2006","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","2007","2007","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","2007","2007","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","2008","2008","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","2008","2008","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","2009","2009","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","2009","2009","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","2010","2010","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","2010","2010","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","2011","2011","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","2011","2011","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","2012","2012","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","2012","2012","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","2013","2013","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","2013","2013","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","2014","2014","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","2014","2014","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","2015","2015","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","2015","2015","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","2016","2016","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","2016","2016","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","2017","2017","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","2017","2017","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","2018","2018","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","2018","2018","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","2019","2019","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","2019","2019","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","2020","2020","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","2020","2020","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","2021","2021","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","2021","2021","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","2022","2022","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","2022","2022","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01708","Bambara beans, dry","2023","2023","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01708","Bambara beans, dry","2023","2023","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01312","Bananas","2005","2005","ha","939","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01312","Bananas","2005","2005","kg/ha","28026.6","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01312","Bananas","2005","2005","t","26317","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01312","Bananas","2006","2006","ha","1222","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01312","Bananas","2006","2006","kg/ha","24549.9","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01312","Bananas","2006","2006","t","30000","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01312","Bananas","2007","2007","ha","1400","E","Estimated value",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01312","Bananas","2007","2007","kg/ha","22857.1","E","Estimated value",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01312","Bananas","2007","2007","t","32000","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01312","Bananas","2008","2008","ha","1480","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01312","Bananas","2008","2008","kg/ha","28378.4","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01312","Bananas","2008","2008","t","42000","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01312","Bananas","2009","2009","ha","2200","E","Estimated value",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01312","Bananas","2009","2009","kg/ha","21363.6","E","Estimated value",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01312","Bananas","2009","2009","t","47000","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01312","Bananas","2010","2010","ha","1719","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01312","Bananas","2010","2010","kg/ha","23272.8","E","Estimated value",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01312","Bananas","2010","2010","t","40000","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01312","Bananas","2011","2011","ha","1204","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01312","Bananas","2011","2011","kg/ha","24911.4","E","Estimated value",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01312","Bananas","2011","2011","t","30000","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01312","Bananas","2012","2012","ha","1426","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01312","Bananas","2012","2012","kg/ha","24550.3","E","Estimated value",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01312","Bananas","2012","2012","t","35000","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01312","Bananas","2013","2013","ha","1413","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01312","Bananas","2013","2013","kg/ha","24769.1","E","Estimated value",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01312","Bananas","2013","2013","t","35000","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01312","Bananas","2014","2014","ha","1410","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01312","Bananas","2014","2014","kg/ha","25221.8","E","Estimated value",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01312","Bananas","2014","2014","t","35575","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01312","Bananas","2015","2015","ha","1423","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01312","Bananas","2015","2015","kg/ha","25657.9","E","Estimated value",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01312","Bananas","2015","2015","t","36500","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01312","Bananas","2016","2016","ha","1428","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01312","Bananas","2016","2016","kg/ha","25902.8","E","Estimated value",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01312","Bananas","2016","2016","t","37000","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01312","Bananas","2017","2017","ha","1416","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01312","Bananas","2017","2017","kg/ha","26133","E","Estimated value",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01312","Bananas","2017","2017","t","37000","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01312","Bananas","2018","2018","ha","1141","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01312","Bananas","2018","2018","kg/ha","26291.2","E","Estimated value",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01312","Bananas","2018","2018","t","30000","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01312","Bananas","2019","2019","ha","1186","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01312","Bananas","2019","2019","kg/ha","26504.8","E","Estimated value",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01312","Bananas","2019","2019","t","31422","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01312","Bananas","2020","2020","ha","1367","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01312","Bananas","2020","2020","kg/ha","26703.3","E","Estimated value",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01312","Bananas","2020","2020","t","36500","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01312","Bananas","2021","2021","ha","1348","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01312","Bananas","2021","2021","kg/ha","26340.3","E","Estimated value",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01312","Bananas","2021","2021","t","35500","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01312","Bananas","2022","2022","ha","1360","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01312","Bananas","2022","2022","kg/ha","26466.2","E","Estimated value",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01312","Bananas","2022","2022","t","36000","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01312","Bananas","2023","2023","ha","1359","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01312","Bananas","2023","2023","kg/ha","26592.1","E","Estimated value",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01312","Bananas","2023","2023","t","36143.39","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01212","Cabbages","2005","2005","ha","1014","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01212","Cabbages","2005","2005","kg/ha","25000","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01212","Cabbages","2005","2005","t","25350","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01212","Cabbages","2006","2006","ha","2226","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01212","Cabbages","2006","2006","kg/ha","25010.8","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01212","Cabbages","2006","2006","t","55674","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01212","Cabbages","2007","2007","ha","2350","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01212","Cabbages","2007","2007","kg/ha","17872.3","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01212","Cabbages","2007","2007","t","42000","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01212","Cabbages","2008","2008","ha","2450","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01212","Cabbages","2008","2008","kg/ha","17000","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01212","Cabbages","2008","2008","t","41650","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01212","Cabbages","2009","2009","ha","2000","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01212","Cabbages","2009","2009","kg/ha","20000","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01212","Cabbages","2009","2009","t","40000","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01212","Cabbages","2010","2010","ha","4500","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01212","Cabbages","2010","2010","kg/ha","12222.2","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01212","Cabbages","2010","2010","t","55000","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01212","Cabbages","2011","2011","ha","2444","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01212","Cabbages","2011","2011","kg/ha","20458.3","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01212","Cabbages","2011","2011","t","50000","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01212","Cabbages","2012","2012","ha","2754","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01212","Cabbages","2012","2012","kg/ha","19968.5","E","Estimated value",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01212","Cabbages","2012","2012","t","55000","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01212","Cabbages","2013","2013","ha","3006","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01212","Cabbages","2013","2013","kg/ha","18298.3","E","Estimated value",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01212","Cabbages","2013","2013","t","55000","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01212","Cabbages","2014","2014","ha","3230","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01212","Cabbages","2014","2014","kg/ha","17893.8","E","Estimated value",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01212","Cabbages","2014","2014","t","57800","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01212","Cabbages","2015","2015","ha","3206","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01212","Cabbages","2015","2015","kg/ha","17312.9","E","Estimated value",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01212","Cabbages","2015","2015","t","55500","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01212","Cabbages","2016","2016","ha","3396","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01212","Cabbages","2016","2016","kg/ha","17666.1","E","Estimated value",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01212","Cabbages","2016","2016","t","60000","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01212","Cabbages","2017","2017","ha","3314","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01212","Cabbages","2017","2017","kg/ha","18107.2","E","Estimated value",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01212","Cabbages","2017","2017","t","60000","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01212","Cabbages","2018","2018","ha","4108","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01212","Cabbages","2018","2018","kg/ha","18530.6","E","Estimated value",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01212","Cabbages","2018","2018","t","76116","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01212","Cabbages","2019","2019","ha","5632","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01212","Cabbages","2019","2019","kg/ha","18659.8","E","Estimated value",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01212","Cabbages","2019","2019","t","105096","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01212","Cabbages","2020","2020","ha","8658","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01212","Cabbages","2020","2020","kg/ha","18296.5","E","Estimated value",""
"QCL","Crops and livestock products","686","Senegal","5510","Production","01212","Cabbages","2020","2020","t","158412","A","Official figure",""
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","01212","Cabbages","2021","2021","ha","8857","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01212","Cabbages","2021","2021","kg/ha","17971.2","E","Estimated value",""
